timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770030480000;STABLE;-0.028800705;0.027648;0.027692;0.027576;0.027592;1085550;-1
1770030540000;STABLE;-0.115606226;0.027592;0.027596;0.02743;0.027459;515370;-1
1770030600000;STABLE;-0.29923728;0.027459;0.02747;0.027306;0.027366;2301210;-1
1770030660000;STABLE;-0.33262697;0.027353;0.02738;0.027247;0.027342;877140;-1
1770030720000;STABLE;-0.27557805;0.027342;0.027361;0.027339;0.027341;25360;1
1770030780000;STABLE;-0.21590804;0.027381;0.027408;0.027316;0.027394;414020;1
1770030840000;STABLE;-0.21816672;0.027364;0.027406;0.027327;0.027342;133660;-1
1770030900000;STABLE;-0.30624563;0.027353;0.027376;0.027304;0.027304;171140;-1
1770030960000;STABLE;-0.27863452;0.027329;0.027394;0.027288;0.02737;435890;1
1770031020000;STABLE;-0.17670968;0.027353;0.027505;0.027353;0.027468;73950;1
1770031080000;STABLE;-0.14867705;0.027435;0.027473;0.027385;0.027473;125100;1
1770031140000;STABLE;0.05760006;0.027597;0.027654;0.02758;0.027601;465390;1
1770031200000;STABLE;0.37128955;0.027637;0.027697;0.027606;0.027649;508160;1
1770031260000;STABLE;0.31744057;0.027641;0.027659;0.027556;0.027616;354850;-1
1770031320000;STABLE;0.31527436;0.027644;0.027647;0.027591;0.027623;117440;-1
1770031380000;STABLE;0.24523424;0.027605;0.027605;0.027547;0.027564;102530;-1
1770031440000;STABLE;0.15475151;0.027525;0.027527;0.02748;0.027527;248720;-1
1770031500000;STABLE;0.17681676;0.027609;0.027609;0.027559;0.027605;77980;1
1770031560000;STABLE;0.206633;0.027582;0.027674;0.02758;0.027661;236070;1
1770031620000;STABLE;0.36841738;0.027677;0.027885;0.027649;0.027816;1742910;1
1770031680000;STABLE;0.4697798;0.027854;0.027868;0.027824;0.027844;246440;1
1770031740000;STABLE;0.6269022;0.02801;0.028054;0.02793;0.027944;616560;1
1770031800000;STABLE;1.120388;0.027879;0.027996;0.027879;0.027996;771180;1
1770031860000;STABLE;1.1431527;0.027951;0.028027;0.027923;0.027983;966790;1
1770031920000;STABLE;0.95943946;0.027822;0.027908;0.027822;0.027826;543080;-1
1770031980000;STABLE;0.79191923;0.027825;0.027825;0.027624;0.027625;468690;-1
1770032040000;STABLE;0.5986491;0.02754;0.027624;0.027533;0.027624;333190;-1
1770032100000;STABLE;0.4748731;0.027713;0.027731;0.027655;0.02769;163880;-1
1770032160000;STABLE;0.4476945;0.02766;0.027727;0.02766;0.027672;251970;-1
1770032220000;STABLE;0.4361257;0.027739;0.027741;0.027607;0.027607;321810;-1
1770032280000;STABLE;0.38570374;0.027642;0.027695;0.0276;0.027611;116250;-1
1770032340000;STABLE;0.39540347;0.027623;0.027675;0.027622;0.027662;49420;1
1770032400000;STABLE;0.43375129;0.02769;0.027737;0.02766;0.027677;116760;1
1770032460000;STABLE;0.34551167;0.02761;0.027666;0.027608;0.027619;142710;-1
1770032520000;STABLE;0.38658175;0.027625;0.027714;0.027617;0.027675;89040;1
1770032580000;STABLE;0.3645942;0.027636;0.027695;0.027601;0.027637;659600;-1
1770032640000;STABLE;0.30501434;0.027584;0.027625;0.027584;0.027597;56990;-1
1770032700000;STABLE;0.07568187;0.027637;0.027654;0.027614;0.027628;59600;-1
1770032760000;STABLE;0.10826661;0.027618;0.027714;0.027606;0.027697;178660;1
1770032820000;STABLE;0.17476492;0.027696;0.027738;0.027681;0.027728;193570;1
1770032880000;STABLE;0.17592277;0.027745;0.027749;0.027675;0.027687;54850;1
1770032940000;STABLE;0.16501266;0.027723;0.027723;0.027691;0.027695;15910;-1
1770033000000;STABLE;0.046667527;0.027659;0.027659;0.027594;0.027594;209400;-1
1770033060000;STABLE;0.016279895;0.027588;0.027624;0.027584;0.027618;62230;-1
1770033120000;STABLE;0.06525466;0.027652;0.027664;0.027604;0.027642;121960;1
1770033180000;STABLE;0.07677875;0.027681;0.027682;0.027618;0.027618;64080;1
1770033240000;STABLE;0.070355125;0.027614;0.02769;0.027614;0.027664;219540;-1
1770033300000;STABLE;0.38152093;0.027726;0.027833;0.027713;0.027825;420170;1
1770033360000;STABLE;0.339353;0.027774;0.027785;0.027689;0.027733;625170;-1
1770033420000;STABLE;0.1581113;0.027608;0.027636;0.027591;0.027604;230780;-1
1770033480000;STABLE;0.011559324;0.027604;0.027609;0.027362;0.027417;1019920;-1
1770033540000;STABLE;-0.10042716;0.027365;0.027468;0.027365;0.027444;341170;-1
1770033600000;STABLE;-0.4766969;0.02746;0.02748;0.027361;0.027372;439950;-1
1770033660000;STABLE;-0.3797318;0.027515;0.027532;0.02745;0.027456;117890;1
1770033720000;STABLE;-0.42649794;0.02746;0.027491;0.027413;0.027438;108100;-1
1770033780000;STABLE;-0.45506078;0.02741;0.027497;0.027383;0.027414;176970;-1
1770033840000;STABLE;-0.4687093;0.027414;0.027449;0.027374;0.027413;248770;-1
